symbol,ensembl
ANXA5,ENSG00000164111
AOAH,ENSG00000136250
AOC1,ENSG00000002726
AOPEP,ENSG00000148120
AP1S3,ENSG00000152056
AP3M2,ENSG00000070718
AP4B1-AS1,ENSG00000226167
AP4M1,ENSG00000221838
APBA1,ENSG00000276497
APBA2,ENSG00000034053
APBB1,ENSG00000166313
APBB2,ENSG00000163697
APCDD1L-DT,ENSG00000231290
APLF,ENSG00000169621
APOA2,ENSG00000158874
APOB,ENSG00000291544
APOBEC3A,ENSG00000262156
APOBEC3H,ENSG00000100298
APOBR,ENSG00000184730
APOC1,ENSG00000130208
APOE,ENSG00000130203
APOLD1,ENSG00000178878
APOO,ENSG00000184831
APOOL,ENSG00000155008
APP,ENSG00000142192
APPBP2-DT,ENSG00000259349
APRG1,ENSG00000198590
APRT,ENSG00000198931
AQP3,ENSG00000165272
AQP7,ENSG00000165269
AQP9,ENSG00000103569
AR,ENSG00000169083
ARAP2,ENSG00000047365
ARAP3,ENSG00000120318
AREG,ENSG00000109321
ARHGAP10,ENSG00000071205
ARHGAP18,ENSG00000146376
ARHGAP19,ENSG00000213390
ARHGAP19-SLIT1,ENSG00000269891
ARHGAP20,ENSG00000137727
ARHGAP22,ENSG00000128805
ARHGAP24,ENSG00000138639
ARHGAP26,ENSG00000145819
ARHGAP29,ENSG00000137962
ARHGAP31,ENSG00000031081
ARHGAP32,ENSG00000134909
ARHGAP39,ENSG00000147799
ARHGAP42,ENSG00000165895
ARHGAP44,ENSG00000006740
ARHGAP6,ENSG00000047648
ARHGAP8,ENSG00000241484
ARHGEF10,ENSG00000104728
ARHGEF10L,ENSG00000074964
ARHGEF11,ENSG00000132694
ARHGEF12,ENSG00000196914
ARHGEF18,ENSG00000104880
ARHGEF28,ENSG00000214944
ARHGEF9,ENSG00000131089
ARID5B,ENSG00000150347
ARL11,ENSG00000152213
ARL14EP-DT,ENSG00000254532
ARL3,ENSG00000138175
ARL4C,ENSG00000188042
ARL6,ENSG00000113966
ARL6IP4,ENSG00000182196
ARMC2,ENSG00000118690
ARMC9,ENSG00000135931
ARMCX2,ENSG00000184867
ARMCX5-GPRASP2,ENSG00000286237
ARMH1,ENSG00000198520
ARNT2,ENSG00000172379
ARPC1B,ENSG00000130429
ARRB1,ENSG00000137486
ARRDC3-AS1,ENSG00000281357
ARSJ,ENSG00000180801
ARSK,ENSG00000164291
AS3MT,ENSG00000214435
ASAH1,ENSG00000104763
ASAH2B,ENSG00000204147
ASAP1,ENSG00000153317
ASIC2,ENSG00000108684
ASMTL-AS1,ENSG00000292331
ASPH,ENSG00000198363
ASPM,ENSG00000066279
ASTE1,ENSG00000034533
ASTL,ENSG00000188886
ASTN2,ENSG00000148219
ATE1OSP,ENSG00000226864
ATF5,ENSG00000169136
ATF7IP2,ENSG00000166669
ATG10,ENSG00000152348
ATG2A,ENSG00000110046
ATG9B,ENSG00000181652
ATL1,ENSG00000198513
ATP10A,ENSG00000206190
ATP10D,ENSG00000145246
ATP11C,ENSG00000101974
ATP13A2,ENSG00000159363
ATP13A3,ENSG00000133657
ATP13A3-DT,ENSG00000233058
ATP13A4,ENSG00000127249
ATP1A1-AS1,ENSG00000203865
ATP1A3,ENSG00000105409
ATP1B1,ENSG00000143153
ATP1B3,ENSG00000069849
ATP23,ENSG00000262145
ATP2B1,ENSG00000070961
ATP2B1-AS1,ENSG00000271614
ATP2B4,ENSG00000058668
ATP5F1D,ENSG00000099624
ATP5IF1,ENSG00000130770
ATP5MC1,ENSG00000159199
ATP5ME,ENSG00000169020
ATP5MJ,ENSG00000156411
ATP6AP1L,ENSG00000205464
ATP6V0D2,ENSG00000147614
ATP6V0E2,ENSG00000171130
ATP6V1E2,ENSG00000250565
ATP6V1G2,ENSG00000226850
ATP8A2,ENSG00000132932
ATP8B4,ENSG00000104043
ATP9A,ENSG00000054793
ATRNL1,ENSG00000107518
ATXN1,ENSG00000124788
ATXN7L1,ENSG00000146776
AUTS2,ENSG00000158321
AVEN,ENSG00000169857
AVIL,ENSG00000135407
AXDND1,ENSG00000162779
AZGP1,ENSG00000160862
AZIN2,ENSG00000142920
B2M,ENSG00000166710
B3GALNT2,ENSG00000282880
B3GALT1,ENSG00000172318
B3GALT1-AS1,ENSG00000235335
B3GALT2,ENSG00000162630
B3GAT1,ENSG00000109956
B3GAT1-DT,ENSG00000255545
B3GAT3,ENSG00000149541
B3GLCT,ENSG00000187676
B4GALNT3,ENSG00000139044
B4GALT5,ENSG00000158470
B4GALT6,ENSG00000118276
B9D1,ENSG00000108641
BAALC,ENSG00000164929
BACE2,ENSG00000182240
BACH1,ENSG00000156273
BACH2,ENSG00000112182
BAHD1,ENSG00000140320
BAIAP2L2,ENSG00000128298
BANK1,ENSG00000153064
BASP1,ENSG00000176788
BASP1-AS1,ENSG00000215196
BATF,ENSG00000156127
BBIP1,ENSG00000214413
BBLN,ENSG00000171159
BBOF1,ENSG00000119636
BBOX1-AS1,ENSG00000254560
BBS1,ENSG00000174483
BBS4,ENSG00000140463
BBS7,ENSG00000138686
BBS9,ENSG00000122507
BCAR3,ENSG00000137936
BCAS1,ENSG00000064787
BCAS2,ENSG00000116752
BCAS3,ENSG00000141376
BCAS4,ENSG00000124243
BCAT1,ENSG00000060982
BCKDHB,ENSG00000083123
BCL10-AS1,ENSG00000223653
BCL11A,ENSG00000119866
BCL11B,ENSG00000127152
BCL2,ENSG00000171791
BCL2L1-AS1,ENSG00000236559
BCL2L11,ENSG00000153094
BCL2L14,ENSG00000121380
BCL7A,ENSG00000110987
BCL7C,ENSG00000099385
BCL9,ENSG00000116128
BCO2,ENSG00000197580
BCORL1,ENSG00000085185
BCORP1,ENSG00000215580
BDNF-AS,ENSG00000245573
BEND5,ENSG00000162373
BEST1,ENSG00000167995
BEX2,ENSG00000133134
BEX3,ENSG00000166681
BFSP2-AS1,ENSG00000249993
BGN,ENSG00000182492
BHLHE40,ENSG00000134107
BHLHE40-AS1,ENSG00000235831
BICC1,ENSG00000122870
BICD1,ENSG00000151746
BICDL1,ENSG00000135127
BIN2,ENSG00000110934
BIRC3,ENSG00000023445
BIVM,ENSG00000134897
BLK,ENSG00000136573
BLM,ENSG00000197299
BLNK,ENSG00000095585
BLOC1S4,ENSG00000186222
BLOC1S5,ENSG00000188428
BLOC1S5-TXNDC5,ENSG00000259040
BLVRB,ENSG00000090013
BMAL2,ENSG00000029153
BMAL2-AS1,ENSG00000245311
BMERB1,ENSG00000278823
BMP2K,ENSG00000138756
BMP6,ENSG00000153162
BMPER,ENSG00000164619
BMPR1A,ENSG00000107779
BMPR1B,ENSG00000138696
BMS1P1,ENSG00000204177
BNC2,ENSG00000173068
BNIPL,ENSG00000163141
BPGM,ENSG00000172331
BRD3OS,ENSG00000235106
BRIP1,ENSG00000136492
BRMS1L,ENSG00000100916
BRPF3-AS1,ENSG00000246982
BTBD6,ENSG00000184887
BTBD8,ENSG00000189195
BTD,ENSG00000169814
BTG1-DT,ENSG00000245904
BTLA,ENSG00000186265
BTNL12P,ENSG00000293512
C10orf143,ENSG00000237489
C10orf88,ENSG00000119965
C10orf88B,ENSG00000293310
C10orf90,ENSG00000154493
C10orf95-AS1,ENSG00000269609
C11orf65,ENSG00000166323
C11orf96,ENSG00000187479
C12orf42,ENSG00000179088
C12orf57,ENSG00000111678
C12orf60,ENSG00000182993
C12orf75,ENSG00000235162
C12orf75-AS1,ENSG00000257642
C13orf46,ENSG00000283302
C14orf132,ENSG00000227051
C14orf93,ENSG00000100802
C16orf46,ENSG00000166455
C16orf54,ENSG00000185905
C16orf74,ENSG00000154102
C16orf95,ENSG00000260456
C17orf100,ENSG00000256806
C17orf99,ENSG00000187997
C19orf18,ENSG00000177025
C19orf53,ENSG00000104979
C1QA,ENSG00000173372
C1QB,ENSG00000173369
C1QC,ENSG00000159189
C1QTNF3-AMACR,ENSG00000273294
C1QTNF6,ENSG00000133466
C1QTNF7-AS1,ENSG00000249252
C1R,ENSG00000288512
C1S,ENSG00000182326
C1orf159,ENSG00000131591
C1orf21,ENSG00000116667
C1orf35,ENSG00000143793
C1orf56,ENSG00000143443
C2CD4D-AS1,ENSG00000234614
C2CD5-AS1,ENSG00000250166
C2orf74,ENSG00000237651
C2orf76,ENSG00000186132
C2orf92,ENSG00000291598
C3orf33,ENSG00000174928
C4orf50,ENSG00000181215
C5,ENSG00000106804
C5AR1,ENSG00000197405
C5orf63,ENSG00000164241
C5orf67,ENSG00000225940
C9orf153,ENSG00000187753
C9orf40,ENSG00000135045
CA11,ENSG00000063180
CA12,ENSG00000074410
CA13,ENSG00000185015
CA2,ENSG00000104267
CA3,ENSG00000164879
CA6,ENSG00000131686
CA8,ENSG00000178538
CAB39L,ENSG00000102547
CABLES1,ENSG00000134508
CABYR,ENSG00000154040
CACHD1,ENSG00000158966
CACNA1A,ENSG00000141837
CACNA1C,ENSG00000151067
CACNA1D,ENSG00000157388
CACNA1I,ENSG00000100346
CACNA2D2,ENSG00000007402
CACNB2,ENSG00000165995
CACNB4,ENSG00000182389
CACNG8,ENSG00000142408
CADM1,ENSG00000182985
CADM2,ENSG00000175161
CADPS,ENSG00000163618
CALCB,ENSG00000175868
CALCRL,ENSG00000064989
CALCRL-AS1,ENSG00000224063
CALD1,ENSG00000122786
CALHM6,ENSG00000188820
CALN1,ENSG00000183166
CALR,ENSG00000179218
CAMK1D,ENSG00000183049
CAMK2D,ENSG00000145349
CAMK2N1,ENSG00000162545
CAMK4,ENSG00000152495
CAMKK1,ENSG00000004660
CAMKMT,ENSG00000143919
CAMLG,ENSG00000164615
CAMSAP2,ENSG00000118200
CAND2,ENSG00000144712
CAPG,ENSG00000042493
CAPN1-AS1,ENSG00000254614
CAPN12,ENSG00000182472
CAPN14,ENSG00000214711
CAPN5,ENSG00000149260
CAPS2,ENSG00000180881
CARD8-AS1,ENSG00000268001
CARHSP1,ENSG00000153048
CARMIL1,ENSG00000079691
CARMIL3,ENSG00000284765
CARMN,ENSG00000249669
CASC11,ENSG00000249375
CASC2,ENSG00000177640
CASC8,ENSG00000246228
CASK,ENSG00000147044
CASP4LP,ENSG00000235505
CASP5,ENSG00000137757
CASS4,ENSG00000087589
CASTOR2,ENSG00000274070
CASTOR3P,ENSG00000291122
CATSPER2,ENSG00000166762
CATSPERB,ENSG00000133962
CATSPERE,ENSG00000179397
CAV1,ENSG00000105974
CAVIN2,ENSG00000168497
CAVIN2-AS1,ENSG00000233766
CBFA2T3,ENSG00000129993
CBR4,ENSG00000145439
CBX7,ENSG00000100307
CBY1,ENSG00000100211
CC2D1A,ENSG00000288293
CC2D2B,ENSG00000188649
CCBE1,ENSG00000183287
CCDC102B,ENSG00000150636
CCDC107,ENSG00000159884
CCDC112,ENSG00000164221
CCDC122,ENSG00000151773
CCDC125,ENSG00000183323
CCDC126,ENSG00000169193
CCDC136,ENSG00000128596
CCDC137,ENSG00000185298
CCDC138,ENSG00000163006
CCDC141,ENSG00000163492
CCDC144NL-AS1,ENSG00000233098
CCDC146,ENSG00000135205
CCDC15,ENSG00000149548
CCDC150,ENSG00000144395
CCDC152,ENSG00000198865
CCDC162P,ENSG00000203799
CCDC170,ENSG00000120262
CCDC171,ENSG00000164989
CCDC18,ENSG00000122483
CCDC180,ENSG00000197816
CCDC191,ENSG00000163617
CCDC192,ENSG00000230561
CCDC24,ENSG00000159214
CCDC26,ENSG00000229140
CCDC28A-AS1,ENSG00000279968
CCDC3,ENSG00000151468
CCDC30,ENSG00000186409
CCDC34,ENSG00000109881
CCDC50,ENSG00000152492
CCDC54-AS1,ENSG00000239828
CCDC59,ENSG00000133773
CCDC62,ENSG00000130783
CCDC7,ENSG00000216937
CCDC85B,ENSG00000175602
CCDC85C,ENSG00000205476
CCDC88A,ENSG00000115355
CCDC90B-AS1,ENSG00000255234
CCL13,ENSG00000181374
CCL17,ENSG00000102970
CCL18,ENSG00000278006
CCL19,ENSG00000172724
CCL2,ENSG00000108691
CCL21,ENSG00000137077
CCL22,ENSG00000102962
CCL24,ENSG00000106178
CCL28,ENSG00000151882
CCL3,ENSG00000274221
CCL3-AS1,ENSG00000282775
CCL4,ENSG00000277943
CCL4L2,ENSG00000293547
CCL5,ENSG00000274233
CCL7,ENSG00000108688
CCL8,ENSG00000108700
CCND1,ENSG00000110092
CCND2,ENSG00000118971
CCND3,ENSG00000112576
CCNG2,ENSG00000138764
CCNJL,ENSG00000135083
CCNT2-AS1,ENSG00000224043
CCR1,ENSG00000163823
CCR2,ENSG00000121807
CCR3,ENSG00000183625
CCR4,ENSG00000183813
CCR5,ENSG00000160791
CCR6,ENSG00000112486
CCR7,ENSG00000126353
CCSER1,ENSG00000184305
CCT6B,ENSG00000132141
CCZ1P1,ENSG00000243554
CD109,ENSG00000156535
CD14,ENSG00000170458
CD160,ENSG00000117281
CD163,ENSG00000177575
CD163L1,ENSG00000177675
CD19,ENSG00000177455
CD1B,ENSG00000158485
CD1E,ENSG00000158488
CD2,ENSG00000116824
CD200,ENSG00000091972
CD200R1,ENSG00000163606
CD22,ENSG00000012124
CD226,ENSG00000150637
CD24,ENSG00000272398
CD244,ENSG00000122223
CD247,ENSG00000198821
CD27,ENSG00000139193
CD274,ENSG00000120217
CD28,ENSG00000178562
CD300A,ENSG00000167851
CD300E,ENSG00000186407
CD320,ENSG00000167775
CD34,ENSG00000174059
CD36,ENSG00000135218
CD37,ENSG00000104894
CD38,ENSG00000004468
CD3D,ENSG00000167286
CD3E,ENSG00000198851
CD3G,ENSG00000160654
CD4,ENSG00000010610
CD40LG,ENSG00000102245
CD44,ENSG00000026508
CD48,ENSG00000117091
CD52,ENSG00000169442
CD55,ENSG00000196352
CD5L,ENSG00000073754
CD6,ENSG00000013725
CD63,ENSG00000135404
CD68,ENSG00000129226
CD69,ENSG00000110848
CD7,ENSG00000173762
CD70,ENSG00000125726
CD72,ENSG00000137101
CD74,ENSG00000019582
CD79A,ENSG00000105369
CD79B,ENSG00000007312
CD80,ENSG00000121594
CD82,ENSG00000085117
CD83,ENSG00000112149
CD86,ENSG00000114013
CD8A,ENSG00000153563
CD8B,ENSG00000172116
CD9,ENSG00000010278
CD93,ENSG00000125810
CD96,ENSG00000153283
CDAN1,ENSG00000140326
CDC14A,ENSG00000079335
CDC14B,ENSG00000081377
CDC37L1,ENSG00000106993
CDC42-AS1,ENSG00000285752
CDC42BPA,ENSG00000143776
CDC7,ENSG00000097046
CDCA7L,ENSG00000164649
CDH1,ENSG00000039068
CDH12,ENSG00000154162
CDH13,ENSG00000140945
CDH19,ENSG00000071991
CDH20,ENSG00000101542
CDH26,ENSG00000124215
CDH3,ENSG00000062038
CDH4,ENSG00000280641
CDH5,ENSG00000179776
CDH9,ENSG00000113100
CDHR1,ENSG00000148600
CDHR3,ENSG00000128536
CDIN1,ENSG00000186073
CDK14,ENSG00000058091
CDK6,ENSG00000105810
CDK6-AS1,ENSG00000237819
CDK7,ENSG00000277273
CDKL3,ENSG00000006837
CDKL4,ENSG00000205111
CDKN2B-AS1,ENSG00000240498
CDKN2D,ENSG00000129355
CDNF,ENSG00000185267
CDON,ENSG00000064309
CDRT4,ENSG00000239704
CDS1,ENSG00000163624
CDYL2,ENSG00000166446
CEACAM1,ENSG00000079385
CEACAM16-AS1,ENSG00000266903
CEBPB,ENSG00000172216
CEBPB-AS1,ENSG00000277449
CEBPD,ENSG00000221869
CECR2,ENSG00000099954
CELF6,ENSG00000140488
CELSR1,ENSG00000075275
CELSR2,ENSG00000143126
CEMIP,ENSG00000103888
CENPE,ENSG00000138778
CENPF,ENSG00000117724
CENPP,ENSG00000291348
CENPQ,ENSG00000031691
CENPV,ENSG00000166582
CEP112,ENSG00000154240
CEP126,ENSG00000110318
CEP128,ENSG00000100629
CEP162,ENSG00000135315
CEP164P1,ENSG00000226937
CEP19,ENSG00000174007
CEP57L1,ENSG00000183137
CEP70,ENSG00000114107
CEP78,ENSG00000148019
CEP89,ENSG00000121289
CEP97,ENSG00000182504
CERNA1,ENSG00000259577
CERS3,ENSG00000154227
CERS4,ENSG00000090661
CERS6,ENSG00000172292
CFAP161,ENSG00000156206
CFAP20DC,ENSG00000163689
CFAP20DC-DT,ENSG00000243295
CFAP298-TCP10L,ENSG00000265590
CFAP299,ENSG00000197826
CFAP36,ENSG00000163001
CFAP418-AS1,ENSG00000253773
CFAP44,ENSG00000206530
CFAP54,ENSG00000188596
CFAP61,ENSG00000089101
CFAP70,ENSG00000156042
CFAP91,ENSG00000183833
CFAP97D2,ENSG00000283361
CFD,ENSG00000197766
CFH,ENSG00000000971
CFLAR,ENSG00000003402
CHCHD10,ENSG00000273607
CHCHD6,ENSG00000159685
CHGA,ENSG00000276781
CHI3L2,ENSG00000064886
CHIC1,ENSG00000204116
CHIT1,ENSG00000133063
CHKB-DT,ENSG00000205559
CHL1,ENSG00000134121
CHMP1B2P,ENSG00000278530
CHN1,ENSG00000128656
CHN2,ENSG00000106069
CHODL,ENSG00000154645
CHPT1,ENSG00000111666
CHRM3,ENSG00000133019
CHRM3-AS2,ENSG00000233355
CHRNE,ENSG00000108556
CHST15,ENSG00000182022
CHSY3,ENSG00000198108
CHURC1-FNTB,ENSG00000125954
CIBAR1-DT,ENSG00000246662
CIITA,ENSG00000179583
CILK1,ENSG00000112144
CISD1,ENSG00000122873
CISH,ENSG00000114737
CIT,ENSG00000122966
CKAP2,ENSG00000136108
CKM,ENSG00000104879
CKMT2-AS1,ENSG00000247572
CLC,ENSG00000105205
CLCA4-AS1,ENSG00000236915
CLCN4,ENSG00000073464
CLDN12,ENSG00000157224
CLDN14-AS1,ENSG00000230479
CLDN5,ENSG00000184113
CLDND1,ENSG00000080822
CLEC10A,ENSG00000132514
CLEC11A,ENSG00000105472
CLEC12A,ENSG00000172322
CLEC14A,ENSG00000176435
CLEC17A,ENSG00000187912
CLEC4C,ENSG00000198178
CLEC4F,ENSG00000152672
CLEC5A,ENSG00000258227
CLEC7A,ENSG00000172243
CLECL1P,ENSG00000184293
CLHC1,ENSG00000162994
CLIC3,ENSG00000169583
CLIC4,ENSG00000169504
CLIC5,ENSG00000112782
CLIC6,ENSG00000159212
CLMN,ENSG00000165959
CLMP,ENSG00000166250
CLNK,ENSG00000109684
CLSPN,ENSG00000092853
CLSTN3,ENSG00000139182
CLTCL1,ENSG00000070371
CLU,ENSG00000120885
CLUAP1,ENSG00000103351
CLVS1,ENSG00000177182
CLYBL,ENSG00000125246
CMAHP,ENSG00000293489
CMKLR1,ENSG00000174600
CMSS1,ENSG00000184220
CMTM1,ENSG00000089505
CMTM4,ENSG00000183723
CMTM6,ENSG00000091317
CMTM8,ENSG00000170293
CMYA5,ENSG00000164309
CNBD1,ENSG00000176571
CNBD2,ENSG00000149646
CNIH3,ENSG00000143786
CNKSR2,ENSG00000149970
CNKSR3,ENSG00000153721
CNN2,ENSG00000064666
CNN3,ENSG00000117519
CNNM2,ENSG00000148842
CNNM4,ENSG00000158158
CNPY3,ENSG00000137161
CNPY4,ENSG00000166997
CNR1,ENSG00000118432
CNR2,ENSG00000188822
CNTN5,ENSG00000149972
CNTNAP2,ENSG00000174469
CNTNAP5,ENSG00000155052
COBL,ENSG00000106078
COBLL1,ENSG00000082438
COCH,ENSG00000100473
COL14A1,ENSG00000187955
COL18A1,ENSG00000292234
COL19A1,ENSG00000082293
COL1A1,ENSG00000108821
COL1A2,ENSG00000164692
COL23A1,ENSG00000050767
COL24A1,ENSG00000171502
COL25A1,ENSG00000188517
COL26A1,ENSG00000160963
COL28A1,ENSG00000215018
COL3A1,ENSG00000291748
COL4A1,ENSG00000187498
COL4A2,ENSG00000134871
COL4A3,ENSG00000169031
COL4A4,ENSG00000081052
COL5A1,ENSG00000130635
COL5A2,ENSG00000204262
COL5A3,ENSG00000080573
COL6A1,ENSG00000142156
COL6A2,ENSG00000142173
COL6A3,ENSG00000163359
COLEC12,ENSG00000158270
COLGALT2,ENSG00000198756
COLQ,ENSG00000206561
COMMD1,ENSG00000173163
COMMD6,ENSG00000188243
COMTD1,ENSG00000165644
COP1-DT,ENSG00000236021
COPB2-DT,ENSG00000248932
COPG2,ENSG00000158623
COPS8-DT,ENSG00000227252
COPS9,ENSG00000172428
COQ10A,ENSG00000135469
COQ3,ENSG00000132423
COQ8A,ENSG00000163050
CORIN,ENSG00000145244
CORO1A,ENSG00000102879
CORO2A,ENSG00000106789
CORO2B,ENSG00000103647
COTL1,ENSG00000103187
COX10-DT,ENSG00000236088
COX6A1,ENSG00000111775
COX6B1,ENSG00000126267
CPA3,ENSG00000163751
CPA6,ENSG00000165078
CPAMD8,ENSG00000160111
CPEB1,ENSG00000214575
CPEB2,ENSG00000137449
CPEB2-DT,ENSG00000247624
CPED1,ENSG00000106034
CPLANE1,ENSG00000197603
